"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Tem","TMax","TMaxTime","TMin","TMinTime","Tddewpoint","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVIMax","UVIMaxTime","CloudAmount"
"2012-01-01",927.4,1546.4,929.2,"2012-01-01 09:12",925.9,"2012-01-01 12:34",8,9.2,"2012-01-01 09:14",6.6,"2012-01-01 23:12",7.4,96,91,"2012-01-01 23:05",2.5,340,14.2,360,"2012-01-01 13:36",2,17.8,0.5,"2012-01-01 00:05",0.5,"2012-01-01 00:01","0.0",0,0.36,7,-0.5,1,"2012-01-01 12:00",10
"2012-01-02",926,1531.8,927.8,"2012-01-02 07:11",924.3,"2012-01-02 14:00",8.4,9.8,"2012-01-02 14:17",6.5,"2012-01-02 00:23",6.9,90,78,"2012-01-02 15:04",2.9,170,14.1,160,"2012-01-02 11:13",0,0,0,"",0,"","0.0",0,2.94,7.7,-0.5,2,"2012-01-02 11:00",10
"2012-01-03",925.6,1532.8,928,"2012-01-03 23:42",923.7,"2012-01-03 13:21",9.6,11.5,"2012-01-03 09:11",6.3,"2012-01-03 23:25",9.3,98,95,"2012-01-03 14:16",2.6,140,12.2,170,"2012-01-03 03:06",5.5,22.9,0.5,"2012-01-03 01:26",1,"2012-01-03 15:33","0.0",0,3.38,0.1,-0.3,1,"2012-01-03 12:00",NA
"2012-01-04",929.2,1553.4,931.7,"2012-01-04 09:31",927.4,"2012-01-04 01:12",3.8,6.5,"2012-01-04 00:08",2.3,"2012-01-04 14:07",3.8,100,97,"2012-01-04 01:39",4,330,16.2,120,"2012-01-04 23:37",16.5,24,0.5,"2012-01-04 00:04",2.5,"2012-01-04 03:12","0.0",0,0,0.2,-0.1,0,"2012-01-04 13:00",NA
"2012-01-05",927.5,1539.5,930.2,"2012-01-05 09:56",925.7,"2012-01-05 14:53",6.9,9.8,"2012-01-05 23:27",3.8,"2012-01-05 00:01",6.7,99,97,"2012-01-05 16:44",2.9,150,12.7,120,"2012-01-05 19:15",29,24,1.5,"2012-01-05 07:11",5,"2012-01-05 09:23","0.0",0,0.93,0.1,-0.2,1,"2012-01-05 13:00",NA
"2012-01-06",926.9,1546.1,929.8,"2012-01-06 23:54",924.9,"2012-01-06 03:17",11,13.3,"2012-01-06 12:15",9.7,"2012-01-06 00:01",10.6,97,94,"2012-01-06 07:40",2.8,150,14.6,330,"2012-01-06 15:36",52,24,1.5,"2012-01-06 04:45",5.5,"2012-01-06 13:01","0.0",0,2.7,3.8,-0.1,2,"2012-01-06 13:00",10
"2012-01-07",929.7,1571.6,931.4,"2012-01-07 09:29",928.4,"2012-01-07 14:43",10.4,11.3,"2012-01-07 22:26",9.2,"2012-01-07 04:56",10,97,95,"2012-01-07 02:35",2.2,170,12.4,150,"2012-01-07 11:26",41,24,1,"2012-01-07 09:52",2.5,"2012-01-07 00:36","0.0",0,3.76,1.1,-0.1,1,"2012-01-07 13:00",10
"2012-01-08",928.5,1565.3,930.2,"2012-01-08 09:25",926.7,"2012-01-08 14:41",12.5,13.8,"2012-01-08 12:11",11.3,"2012-01-08 00:01",11.9,96,93,"2012-01-08 12:03",2.4,20,12.1,30,"2012-01-08 20:58",23,24,0.3,"2012-01-08 02:15",1.5,"2012-01-08 02:01","0.0",0,4.93,3.2,-0.2,3,"2012-01-08 13:00",10
"2012-01-09",928.2,1561.4,930.3,"2012-01-09 09:51",926.9,"2012-01-09 14:33",11.1,12.1,"2012-01-09 00:01",10.4,"2012-01-09 17:03",10.6,97,94,"2012-01-09 04:53",2.2,180,13.9,350,"2012-01-09 06:48",18.5,24,0.5,"2012-01-09 00:04",1.5,"2012-01-09 00:05","0.0",0,2.37,3.2,-0.1,2,"2012-01-09 12:00",10
"2012-01-10",927.8,1555.3,929.2,"2012-01-10 09:36",926.1,"2012-01-10 15:06",10.5,12.4,"2012-01-10 13:02",9.2,"2012-01-10 21:29",10.1,97,92,"2012-01-10 13:38",1.7,80,9.9,120,"2012-01-10 16:07",3.5,11.7,0.2,"2012-01-10 00:04",1,"2012-01-10 02:46","0.4",3.8,4.69,0.2,-0.7,3,"2012-01-10 13:00",NA
