"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Tem","TMax","TMaxTime","TMin","TMinTime","Tddewpoint","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVIMax","UVIMaxTime","CloudAmount"
"2010-01-01",1017.6,1018.9,1021.1,"2010-01-01 00:04",1015.1,"2010-01-01 14:22",16.4,20.2,"2010-01-01 13:13",13.3,"2010-01-01 00:01",11.3,72,65,"2010-01-01 13:47",2.7,80,10.3,90,"2010-01-01 07:54",0,0,0,"",0,"","2.7",25.5,7.88,10.3,1.6,NA,"",9.4
"2010-01-02",1016,1017.3,1018.7,"2010-01-02 23:08",1013.4,"2010-01-02 13:43",16.6,19.6,"2010-01-02 13:28",14.9,"2010-01-02 23:56",13.7,83,74,"2010-01-02 11:45",0.2,250,5.7,340,"2010-01-02 15:48",9.5,7.4,1,"2010-01-02 17:25",3.5,"2010-01-02 17:12","0.0",0,2.84,6.9,-0.6,NA,"",9.6
"2010-01-03",1016.2,1017.5,1018.6,"2010-01-03 08:47",1014.8,"2010-01-03 23:54",15.6,18.6,"2010-01-03 12:43",13.9,"2010-01-03 06:51",12.4,82,73,"2010-01-03 19:42",1.6,80,9.5,80,"2010-01-03 20:06",8.5,9.5,0.8,"2010-01-03 05:21",2.8,"2010-01-03 05:18","0.1",0.9,2.92,6.8,-1.1,NA,"",7.4
"2010-01-04",1014.8,1016.1,1016.6,"2010-01-04 21:42",1012.4,"2010-01-04 14:22",17,22,"2010-01-04 13:42",13.1,"2010-01-04 05:22",13.2,78,67,"2010-01-04 13:23",0.9,210,6.5,90,"2010-01-04 19:11",0,0,0,"",0,"","6.4",60.4,9.58,6.6,-1.6,NA,"",8.1
"2010-01-05",1018.2,1019.5,1021,"2010-01-05 09:51",1016.2,"2010-01-05 00:04",15,17.8,"2010-01-05 01:18",13.6,"2010-01-05 18:50",11.5,79,74,"2010-01-05 13:00",4.6,80,14.4,60,"2010-01-05 12:11",0.7,2.5,0.3,"2010-01-05 07:16",0.5,"2010-01-05 07:16","0.5",4.7,4.26,7.3,-0.8,NA,"",10
"2010-01-06",1019.6,1020.9,1021.7,"2010-01-06 20:18",1016.8,"2010-01-06 02:56",14.5,15.1,"2010-01-06 02:26",13.8,"2010-01-06 23:52",11.7,83,80,"2010-01-06 00:43",3.5,80,10.8,70,"2010-01-06 22:29",5.6,15.1,0.5,"2010-01-06 08:45",1.5,"2010-01-06 08:41","0.0",0,1.51,9.3,-0.7,NA,"",9.9
"2010-01-07",1021.2,1022.5,1023.8,"2010-01-07 09:23",1019.7,"2010-01-07 14:57",13.6,14.1,"2010-01-07 21:43",13.1,"2010-01-07 06:48",11.1,85,82,"2010-01-07 17:47",3.6,80,10.2,90,"2010-01-07 14:04",20.5,23.5,1.5,"2010-01-07 15:17",2.5,"2010-01-07 05:51","0.0",0,0,6.8,NA,NA,"",10
"2010-01-08",1019.8,1021.1,1021.7,"2010-01-08 10:15",1018.4,"2010-01-08 03:46",13.5,14.7,"2010-01-08 22:45",13.1,"2010-01-08 03:44",11.3,86,79,"2010-01-08 22:45",1.8,80,8.9,80,"2010-01-08 00:14",26,17.5,1.5,"2010-01-08 06:50",6,"2010-01-08 07:39","0.0",0,0,7.6,-0.8,NA,"",10
"2010-01-09",1017.6,1018.9,1019.4,"2010-01-09 00:01",1015.1,"2010-01-09 14:29",18,23.8,"2010-01-09 13:20",14.7,"2010-01-09 00:01",13.7,77,61,"2010-01-09 13:13",2.2,80,10.4,90,"2010-01-09 11:24",0,0,0,"",0,"","7.2",67.7,12.34,13.4,-0.6,NA,"",6.1
"2010-01-10",1017.1,1018.4,1019.1,"2010-01-10 07:00",1013.9,"2010-01-10 12:55",18.4,26.3,"2010-01-10 13:07",15.3,"2010-01-10 07:27",14.3,78,48,"2010-01-10 13:05",0.8,290,10.2,330,"2010-01-10 13:32",0.5,2.4,0.3,"2010-01-10 06:15",0.5,"2010-01-10 06:05","7.2",67.7,12.33,8.5,2.2,NA,"",7.3
