"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Tem","TMax","TMaxTime","TMin","TMinTime","Tddewpoint","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVIMax","UVIMaxTime","CloudAmount"
"2015-01-01",1002.4,NA,1004.9,"2015-01-01 09:32",999,"2015-01-01 00:02",11.6,14,"2015-01-02 00:00",9.8,"2015-01-01 19:17",NA,59,48,"2015-01-01 11:58",5,56,17,26,"2015-01-01 14:57",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-02",1000.6,NA,1002.5,"2015-01-02 00:57",997.7,"2015-01-02 14:56",12.1,15.1,"2015-01-02 14:11",9.7,"2015-01-02 05:18",NA,60,52,"2015-01-02 13:47",4.9,54,14.6,53,"2015-01-02 11:41",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-03",997.4,NA,1000.1,"2015-01-03 00:08",995.2,"2015-01-03 14:07",14.4,20.5,"2015-01-03 13:31",10.5,"2015-01-03 07:10",NA,64,43,"2015-01-03 13:34",1.8,52,9,55,"2015-01-03 01:01",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-04",993.7,NA,995.5,"2015-01-04 00:01",992,"2015-01-04 23:59",15.9,21.2,"2015-01-04 12:14",12.4,"2015-01-04 00:07",NA,68,44,"2015-01-04 12:15",1.5,183,5.3,8,"2015-01-04 13:01",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-05",991.6,NA,993.8,"2015-01-05 08:55",990.7,"2015-01-05 14:15",17.8,23.2,"2015-01-05 11:53",13.4,"2015-01-05 06:17",NA,65,40,"2015-01-05 11:45",1.6,2,6.1,154,"2015-01-05 03:17",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-06",991.4,NA,993,"2015-01-06 21:25",989.9,"2015-01-06 13:53",18.7,23.4,"2015-01-06 11:11",15.7,"2015-01-06 23:43",NA,69,52,"2015-01-06 13:28",3,179,12.4,41,"2015-01-06 22:26",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-07",997.2,NA,1001.4,"2015-01-07 23:30",991.8,"2015-01-07 00:02",13.1,16,"2015-01-07 01:54",10.6,"2015-01-07 23:15",NA,83,77,"2015-01-07 23:43",3.6,45,12.7,37,"2015-01-07 08:29",1,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-08",1001.9,NA,1004.7,"2015-01-08 08:54",1000.2,"2015-01-08 14:06",11.3,13.3,"2015-01-08 13:56",9.6,"2015-01-08 06:44",NA,64,56,"2015-01-08 11:10",4.7,43,16.5,44,"2015-01-08 16:13",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-09",1000.1,NA,1001.8,"2015-01-09 08:02",997.6,"2015-01-09 15:39",13.6,16.7,"2015-01-09 14:26",11.2,"2015-01-09 04:38",NA,61,52,"2015-01-09 14:20",5,44,15.3,42,"2015-01-09 09:34",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-10",999.2,NA,1000.9,"2015-01-10 09:00",997.1,"2015-01-10 14:29",14.7,17,"2015-01-10 13:17",13.2,"2015-01-10 02:53",NA,61,53,"2015-01-10 12:32",4.1,61,13.7,33,"2015-01-10 09:19",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-11",998.4,NA,1000,"2015-01-11 09:28",997.1,"2015-01-11 13:25",15.1,16.4,"2015-01-11 11:55",13.9,"2015-01-11 06:04",NA,66,58,"2015-01-11 19:21",4.6,59,14.3,91,"2015-01-11 12:03",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2015-01-12",997.8,NA,1000.1,"2015-01-12 09:27",995.4,"2015-01-12 23:59",15.7,17.1,"2015-01-12 11:24",14.6,"2015-01-12 21:18",NA,68,60,"2015-01-12 01:07",5.6,56,16.4,31,"2015-01-12 11:13",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
