"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Tem","TMax","TMaxTime","TMin","TMinTime","Tddewpoint","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVIMax","UVIMaxTime","CloudAmount"
"2017-01-01",975.5,NA,978.1,"2017-01-01 09:04",972.6,"2017-01-01 13:11",17.6,22.9,"2017-01-01 12:34",13.6,"2017-01-01 23:31",NA,90,62,"2017-01-01 12:36",1.6,226,28.6,148,"2017-01-01 15:02",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-02",973.8,NA,976.1,"2017-01-02 08:41",969.8,"2017-01-02 14:03",17.1,26.7,"2017-01-02 12:52",9.3,"2017-01-02 07:14",NA,86,41,"2017-01-02 12:46",0.9,210,31.4,216,"2017-01-02 17:00",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-03",973.9,NA,976.1,"2017-01-03 09:31",970.6,"2017-01-03 14:53",17.1,20.2,"2017-01-03 13:01",12.8,"2017-01-03 04:33",NA,98,87,"2017-01-03 13:34",0.3,126,30.3,68,"2017-01-03 00:29",8.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-04",972,NA,974,"2017-01-04 07:41",968.6,"2017-01-04 14:22",19.2,23.5,"2017-01-04 12:11",15.5,"2017-01-04 06:21",NA,90,67,"2017-01-04 10:51",1.2,81,38,244,"2017-01-04 12:41",1,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-05",970.3,NA,972,"2017-01-05 09:31",967.1,"2017-01-05 13:54",18.4,23.1,"2017-01-05 13:01",13.2,"2017-01-05 06:54",NA,92,68,"2017-01-05 13:11",0.4,93,14.8,74,"2017-01-05 00:11",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-06",969.5,NA,971.5,"2017-01-06 08:34",966.4,"2017-01-06 14:03",18.5,24.4,"2017-01-06 12:42",13,"2017-01-06 04:21",NA,93,64,"2017-01-06 12:42",0.8,45,26.4,35,"2017-01-06 12:51",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-07",967.2,NA,969.2,"2017-01-07 09:11",964.3,"2017-01-07 13:57",19.5,26.3,"2017-01-07 12:31",16.4,"2017-01-07 23:06",NA,91,57,"2017-01-07 14:02",0.5,48,25.9,41,"2017-01-07 14:11",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-08",967.9,NA,NA,"",NA,"",17.7,NA,"",NA,"",NA,92,NA,"",0.5,1,NA,NA,"",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-09",971.8,NA,973.7,"2017-01-09 09:23",969.3,"2017-01-09 00:33",14,16.3,"2017-01-09 00:12",12.6,"2017-01-09 15:12",NA,94,87,"2017-01-09 11:59",0.4,121,6,106,"2017-01-09 19:24",0.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-10",973.7,NA,975.8,"2017-01-10 22:01",970.9,"2017-01-10 15:12",14.6,17.4,"2017-01-10 13:21",11.7,"2017-01-10 05:12",NA,86,69,"2017-01-10 13:21",0.9,161,24.8,122,"2017-01-10 16:01",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-11",973,NA,975.8,"2017-01-11 09:02",970.4,"2017-01-11 14:32",16.2,18.8,"2017-01-11 09:51",13.9,"2017-01-11 01:01",NA,92,74,"2017-01-11 09:52",1.2,39,28.1,71,"2017-01-11 14:00",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-12",969.2,NA,NA,"",NA,"",17.7,NA,"",NA,"",NA,92,NA,"",0.7,2,NA,NA,"",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-13",970,NA,971.9,"2017-01-13 22:11",968,"2017-01-13 01:41",14,16.7,"2017-01-13 00:01",12.5,"2017-01-13 23:57",NA,97,90,"2017-01-13 12:18",0.4,4,17.6,14,"2017-01-13 00:02",4,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-14",973.3,NA,975.4,"2017-01-14 20:21",970.7,"2017-01-14 02:15",11.6,13.1,"2017-01-14 14:21",9.6,"2017-01-14 07:35",NA,97,90,"2017-01-14 14:41",0.3,94,4.9,337,"2017-01-14 03:01",14.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-15",974.9,NA,976.8,"2017-01-15 09:01",972.9,"2017-01-15 14:23",11.4,13.2,"2017-01-15 14:11",9.7,"2017-01-15 02:58",NA,97,87,"2017-01-15 14:23",0.5,212,5.5,130,"2017-01-15 14:46",7.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-16",975.4,NA,976.8,"2017-01-16 09:21",973.5,"2017-01-16 14:41",12.2,14.3,"2017-01-16 13:52",10.7,"2017-01-16 23:22",NA,95,79,"2017-01-16 13:55",0.4,125,7.1,154,"2017-01-16 12:26",2.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-17",975.5,NA,977.2,"2017-01-17 09:11",972.8,"2017-01-17 16:22",14.5,17,"2017-01-17 12:11",11.8,"2017-01-17 00:04",NA,95,81,"2017-01-17 11:43",0.5,17,6,101,"2017-01-17 13:54",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-18",974.9,NA,977.2,"2017-01-18 08:25",972.5,"2017-01-18 13:33",16.9,23.1,"2017-01-18 11:54",11.6,"2017-01-18 06:46",NA,90,60,"2017-01-18 11:54",0.4,19,27.5,154,"2017-01-18 13:33",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-19",973.6,NA,975.9,"2017-01-19 09:22",970.6,"2017-01-19 14:48",17.2,20.8,"2017-01-19 11:31",14.6,"2017-01-19 04:51",NA,91,69,"2017-01-19 10:52",0.8,326,22.6,87,"2017-01-19 15:41",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-20",977.9,NA,980.6,"2017-01-20 20:31",973.1,"2017-01-20 00:11",11,16.2,"2017-01-20 00:01",8,"2017-01-20 22:37",NA,92,86,"2017-01-20 14:34",0.9,157,7.7,272,"2017-01-20 15:15",0.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-21",979,NA,980.9,"2017-01-21 08:54",976.3,"2017-01-21 13:51",10.4,12.8,"2017-01-21 11:41",8,"2017-01-21 00:53",NA,92,75,"2017-01-21 11:41",0.3,182,4.9,339,"2017-01-21 13:58",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-22",980.8,NA,982.4,"2017-01-22 10:01",978.6,"2017-01-22 15:02",11.4,14.8,"2017-01-22 13:54",8.8,"2017-01-22 23:21",NA,77,61,"2017-01-22 13:01",1,225,7.7,7,"2017-01-22 19:09",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-23",981.4,NA,982.9,"2017-01-23 09:11",980,"2017-01-23 14:11",10.2,11,"2017-01-23 09:55",9.6,"2017-01-23 19:53",NA,90,72,"2017-01-23 00:01",0.7,217,4.1,180,"2017-01-23 00:15",1,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-24",980.8,NA,982.3,"2017-01-24 21:31",978.6,"2017-01-24 14:01",11.7,14.7,"2017-01-24 13:08",8.4,"2017-01-24 01:24",NA,97,81,"2017-01-24 13:05",0.5,6,5.5,166,"2017-01-24 13:52",5.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-25",979.6,NA,981.7,"2017-01-25 00:01",977.4,"2017-01-25 14:31",12.6,15.8,"2017-01-25 11:25",10.8,"2017-01-25 18:32",NA,97,84,"2017-01-25 11:06",0.3,295,7.7,266,"2017-01-25 17:03",2,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-26",978.3,NA,980.9,"2017-01-26 09:01",975,"2017-01-26 16:46",11.7,13.8,"2017-01-26 13:54",9.3,"2017-01-26 05:52",NA,94,73,"2017-01-26 14:03",0.5,119,5.5,115,"2017-01-26 13:27",1.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-27",976.4,NA,978.7,"2017-01-27 08:13",973.6,"2017-01-27 14:51",14.4,22.6,"2017-01-27 12:36",7.6,"2017-01-27 06:51",NA,85,46,"2017-01-27 12:21",1.1,75,32,48,"2017-01-27 12:07",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2017-01-28",972.9,NA,975.4,"2017-01-28 00:01",969.8,"2017-01-28 14:46",15.7,24.5,"2017-01-28 13:22",10,"2017-01-28 06:34",NA,86,50,"2017-01-28 13:06",1.3,59,38,89,"2017-01-28 12:04",0.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
