"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Tem","TMax","TMaxTime","TMin","TMinTime","Tddewpoint","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVIMax","UVIMaxTime","CloudAmount"
"2012-01-01",968.1,NA,970.2,"2012-01-01 09:04",966,"2012-01-01 12:50",11.7,13.4,"2012-01-01 12:39",10.5,"2012-01-01 23:48",NA,82,73,"2012-01-01 11:35",1.2,89,10,50,"2012-01-01 18:55",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-02",966.1,NA,967.8,"2012-01-02 08:48",964.9,"2012-01-02 21:05",12.1,14.9,"2012-01-02 11:41",9.3,"2012-01-02 23:14",NA,75,58,"2012-01-02 10:28",0.6,93,5.8,13,"2012-01-02 01:28",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-03",965.7,NA,968.6,"2012-01-03 23:59",963.8,"2012-01-03 13:34",13.6,18.2,"2012-01-03 12:03",9.7,"2012-01-03 01:18",NA,77,59,"2012-01-03 10:18",1.1,119,8.6,16,"2012-01-03 23:58",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-04",970.4,NA,973.3,"2012-01-04 09:39",967.8,"2012-01-04 01:19",7.2,9.9,"2012-01-05 00:00",5.7,"2012-01-04 16:33",NA,88,76,"2012-01-04 22:20",1.4,60,11.7,30,"2012-01-04 01:22",4.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-05",968,NA,970.7,"2012-01-05 08:58",965.7,"2012-01-05 22:50",9.3,12.7,"2012-01-05 22:56",7.4,"2012-01-05 05:48",NA,90,75,"2012-01-05 00:17",0.8,58,8.1,29,"2012-01-05 02:40",11.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-06",967.7,NA,970.4,"2012-01-06 21:20",965.3,"2012-01-06 02:52",12.5,13.8,"2012-01-06 11:39",10.2,"2012-01-06 00:01",NA,95,83,"2012-01-06 23:45",0.5,23,6.6,32,"2012-01-06 23:56",40.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-07",969.4,NA,970.7,"2012-01-07 09:10",967.5,"2012-01-07 14:41",15,18.2,"2012-01-07 12:13",12.9,"2012-01-07 00:20",NA,77,59,"2012-01-07 11:52",1.1,87,12.2,0,"2012-01-07 14:25",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-08",968.9,NA,970.8,"2012-01-08 09:31",966.8,"2012-01-08 14:48",15.7,19.4,"2012-01-08 11:17",13.7,"2012-01-08 07:21",NA,82,71,"2012-01-08 11:21",0.9,94,9.6,17,"2012-01-08 12:36",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-09",968,NA,970.6,"2012-01-09 09:22",966.1,"2012-01-09 14:47",14.6,16.4,"2012-01-09 11:38",12.8,"2012-01-09 21:35",NA,84,76,"2012-01-09 22:07",1.4,45,10.3,21,"2012-01-09 13:15",0.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-10",967.6,NA,969,"2012-01-10 09:22",965.6,"2012-01-10 14:51",14.1,17.4,"2012-01-10 14:32",12.2,"2012-01-10 04:15",NA,82,71,"2012-01-10 14:20",1.2,35,8.4,45,"2012-01-10 10:02",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-11",970.5,NA,972.2,"2012-01-11 09:59",968.8,"2012-01-11 01:33",12,13.2,"2012-01-11 11:22",11.1,"2012-01-11 19:38",NA,80,72,"2012-01-11 23:59",1.2,97,9,353,"2012-01-11 09:48",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-12",967.4,NA,969.6,"2012-01-12 09:40",965.1,"2012-01-12 14:06",15.3,19.2,"2012-01-12 13:02",12.2,"2012-01-12 00:40",NA,71,58,"2012-01-12 12:05",0.6,110,4.2,75,"2012-01-12 02:05",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-13",965.8,NA,968.2,"2012-01-13 10:07",963.8,"2012-01-13 22:58",15.1,18.2,"2012-01-13 14:08",13.2,"2012-01-13 02:18",NA,89,74,"2012-01-13 20:44",0.3,271,3,267,"2012-01-13 01:32",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-14",961.6,NA,964.2,"2012-01-15 00:00",959.4,"2012-01-14 15:39",17.4,21.1,"2012-01-14 13:38",14.7,"2012-01-14 00:19",NA,85,71,"2012-01-14 08:47",0.6,122,3.6,268,"2012-01-14 12:42",2,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-15",957.4,NA,960.9,"2012-01-16 00:00",954.7,"2012-01-15 16:01",15.1,17.2,"2012-01-15 12:22",13.9,"2012-01-15 02:29",NA,95,92,"2012-01-15 13:29",0.4,270,3.3,288,"2012-01-15 23:42",4.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-16",959.4,NA,962.5,"2012-01-16 20:04",956.4,"2012-01-17 00:00",12,14.8,"2012-01-17 00:00",10.4,"2012-01-16 23:48",NA,95,90,"2012-01-16 09:08",0.7,114,7.8,290,"2012-01-16 01:00",36.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-17",960.7,NA,962.4,"2012-01-17 22:34",958.5,"2012-01-17 15:02",13.8,19.8,"2012-01-17 14:12",9.1,"2012-01-17 02:55",NA,73,50,"2012-01-17 12:22",0.4,112,3.6,122,"2012-01-17 07:49",0.5,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-18",961,NA,963.1,"2012-01-18 09:11",959.3,"2012-01-18 14:43",16.3,21.3,"2012-01-18 13:32",13.3,"2012-01-18 07:09",NA,71,54,"2012-01-18 13:22",0.6,119,5.9,140,"2012-01-18 01:29",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-19",962,NA,963.8,"2012-01-19 09:15",960.8,"2012-01-19 01:23",14.8,20.9,"2012-01-19 12:15",12.3,"2012-01-19 07:15",NA,83,64,"2012-01-19 12:16",0.6,12,6.3,288,"2012-01-19 12:53",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
"2012-01-20",961.8,NA,963.8,"2012-01-20 09:57",960.2,"2012-01-20 23:08",13.1,16.1,"2012-01-20 10:40",11.1,"2012-01-20 04:51",NA,91,80,"2012-01-20 10:37",0.5,58,4.4,273,"2012-01-20 10:55",0,NA,NA,"",NA,"","...",NA,NA,NA,NA,NA,"",NA
